company,companyLabel,inceptionYear,countryLabel,legalFormLabel,employees
http://www.wikidata.org/entity/Q646807,Gruppo API,1933,Италия,S.p.A.,1500
http://www.wikidata.org/entity/Q156238,ExxonMobil,1882,США,американская корпорация,74900
http://www.wikidata.org/entity/Q871308,Pemex,1938,Мексика,государственное предприятие,138215
http://www.wikidata.org/entity/Q1662137,INA,1964,Хорватия,акционерное общество,9655
http://www.wikidata.org/entity/Q174747,Repsol YPF,1986,Испания,анонимное общество,23810
http://www.wikidata.org/entity/Q183275,Mitsubishi,1870,Япония,конгломерат,350000
http://www.wikidata.org/entity/Q183275,Mitsubishi,1950,Япония,конгломерат,350000
http://www.wikidata.org/entity/Q153417,Kroger,1882,США,Q130264220,453000
http://www.wikidata.org/entity/Q153417,Kroger,1883,США,Q130264220,453000
http://www.wikidata.org/entity/Q549181,MOL Group,1991,Венгрия,акционерное общество,24986
http://www.wikidata.org/entity/Q679322,Saudi Aramco,1932,Саудовская Аравия,государственное предприятие,79000
http://www.wikidata.org/entity/Q679322,Saudi Aramco,1932,Саудовская Аравия,публичная компания,79000
http://www.wikidata.org/entity/Q679322,Saudi Aramco,1933,Саудовская Аравия,государственное предприятие,79000
http://www.wikidata.org/entity/Q679322,Saudi Aramco,1933,Саудовская Аравия,публичная компания,79000
http://www.wikidata.org/entity/Q679322,Saudi Aramco,1988,Саудовская Аравия,государственное предприятие,79000
http://www.wikidata.org/entity/Q679322,Saudi Aramco,1988,Саудовская Аравия,публичная компания,79000
http://www.wikidata.org/entity/Q503182,PetroChina,1999,Китай,акционерное общество,521566
